x,y,date,id
711743.2173018362,7945632.08958901,2010-06-15T12:45:00Z,AG268
711727.091507898,7945511.59456265,2010-06-15T13:00:00Z,AG268
711684.9132704969,7945327.1778094005,2010-06-15T13:15:00Z,AG268
711635.6793255007,7944983.41596586,2010-06-15T13:30:00Z,AG268
711447.3567729071,7944379.92724705,2010-06-15T13:45:00Z,AG268
711216.7045955043,7943671.73390049,2010-06-15T14:00:00Z,AG268
710930.024396396,7942955.30589042,2010-06-15T14:15:00Z,AG268
710658.7770712682,7942201.06220397,2010-06-15T14:30:00Z,AG268
710308.9667351928,7941499.72295716,2010-06-15T14:45:00Z,AG268
710084.2831191862,7940752.70732648,2010-06-15T15:00:00Z,AG268
709799.764494349,7940224.453179421,2010-06-15T15:15:00Z,AG268
709798.6968397021,7940223.35791139,2010-06-15T15:30:00Z,AG268
709780.5467294231,7940204.7383473,2010-06-15T15:45:00Z,AG268
709763.6851453828,7940207.139442859,2010-06-15T16:00:00Z,AG268
709766.7531409753,7940198.24861593,2010-06-15T16:15:00Z,AG268
709822.6147711747,7940190.986770451,2010-06-15T16:30:00Z,AG268
709792.4995113631,7940235.60474144,2010-06-15T16:45:00Z,AG268
709913.784661175,7940797.77561739,2010-06-15T17:00:00Z,AG268
709985.5919295233,7941561.987595851,2010-06-15T17:15:00Z,AG268
709899.5051932102,7942366.69772911,2010-06-15T17:30:00Z,AG268
709928.7483380672,7942814.74974762,2010-06-15T17:45:00Z,AG268
709922.7006030534,7943507.86167712,2010-06-15T18:00:00Z,AG268
709950.3044553471,7944284.74013163,2010-06-15T18:15:00Z,AG268
709998.1083825801,7944597.52008147,2010-06-15T18:30:00Z,AG268
710034.820933074,7944671.28929913,2010-06-15T18:45:00Z,AG268
710058.9886653633,7944756.26837655,2010-06-15T19:00:00Z,AG268
710064.879710837,7944811.558127281,2010-06-15T19:15:00Z,AG268
710088.5941402004,7944855.57952058,2010-06-15T19:30:00Z,AG268
710088.322996164,7944926.436900491,2010-06-15T19:45:00Z,AG268
710098.105759235,7944951.79186381,2010-06-15T20:00:00Z,AG268
710118.702487163,7945000.2761627,2010-06-15T20:15:00Z,AG268
710130.4985493368,7945016.75202212,2010-06-15T20:30:00Z,AG268
710124.274964981,7945026.78484404,2010-06-15T20:45:00Z,AG268
710134.892795765,7945032.20275301,2010-06-15T21:00:00Z,AG268
710152.1388092719,7945064.11764177,2010-06-15T21:15:00Z,AG268
710144.8963408722,7945077.48305371,2010-06-15T21:30:00Z,AG268
710137.8622707509,7945109.66684897,2010-06-15T21:45:00Z,AG268
710241.008375023,7945271.2679959,2010-06-15T22:00:00Z,AG268
710429.432501634,7945601.30983124,2010-06-15T22:15:00Z,AG268
710506.4732669779,7945693.452029101,2010-06-15T22:30:00Z,AG268
710639.5786851889,7945985.35737928,2010-06-15T22:45:00Z,AG268
710649.9644670911,7946064.9534759205,2010-06-15T23:00:00Z,AG268
710682.2009850449,7946115.5224432,2010-06-15T23:15:00Z,AG268
710708.5210588201,7946203.79851069,2010-06-15T23:30:00Z,AG268
710708.5824866733,7946209.33333957,2010-06-15T23:45:00Z,AG268
710706.471042215,7946209.356773121,2010-06-16T00:00:00Z,AG268
710703.3284460452,7946211.60585449,2010-06-16T00:15:00Z,AG268
710680.2008268032,7946220.71932885,2010-06-16T00:30:00Z,AG268
710692.8940688339,7946222.79267368,2010-06-16T00:45:00Z,AG268
710709.9084909188,7946233.67486959,2010-06-16T01:00:00Z,AG268
710705.8575891558,7946249.21925639,2010-06-16T01:15:00Z,AG268
710693.4222987068,7946270.39219697,2010-06-16T01:30:00Z,AG268
